Date,EPS 
2016-12-31,0.61
2016-9-30,1.4
2016-6-30,1.68
2016-3-31,1.14
2015-12-31,4.9
2015-9-30,2.49
2015-6-30,2.41
2015-3-31,1.3
2014-12-31,0.83
2014-9-30,1.28
2014-6-30,1.17
2014-3-31,0.65
2013-12-31,-7.21
2013-9-30,1.02
2013-6-30,0.79
2013-3-31,-1.37
2012-12-31,9.562
2012-9-30,-1.901
2012-6-30,-1.928
2012-3-31,-13.25
2011-12-31,-8.762
2011-9-30,-1.285
2011-6-30,-2.276
2011-3-31,-3.507
2010-12-31,-0.7764
2010-9-30,1.044
2010-6-30,-0.0803
2010-3-31,-4.07
2009-12-31,-2.651
2009-9-30,-3.374
2009-6-30,-3.722
2009-3-31,-3.614
2008-12-31,-3.106
2008-9-30,0.3213
2008-6-30,-15.61
2008-3-31,-3.667
2007-12-31,-0.7764
2007-9-30,1.633
2007-6-30,2.892
2007-3-31,0.8032
2006-12-31,0.1606
2006-9-30,0.1606
2006-6-30,3.052
2006-3-31,-1.312
2005-12-31,-9.639
2005-9-30,-2.49
2005-6-30,0.8032
2005-3-31,-2.677
2004-12-31,-6.452
2004-9-30,-3.561
