Date,EPS 
2016-12-31,1.13
2016-9-30,0.81
2016-6-30,0.62
2016-3-31,1.17
2015-12-31,0.74
2015-9-30,0.72
2015-6-30,0.72
2015-3-31,1.03
2014-12-31,0.69
2014-9-30,0.61
2014-6-30,0.6
2014-3-31,1.08
2013-12-31,0.78
2013-9-30,0.68
2013-6-30,0.47
2013-3-31,0.99
2012-12-31,0.8
2012-9-30,0.63
2012-6-30,0.53
2012-3-31,0.92
2011-12-31,0.76
2011-9-30,0.61
2011-6-30,0.49
2011-3-31,0.85
2010-12-31,0.62
2010-9-30,0.56
2010-6-30,0.41
2010-3-31,0.8
2009-12-31,0.62
2009-9-30,0.56
2009-6-30,0.7
2009-3-31,0.8
2008-12-31,0.59
2008-9-30,0.54
2008-6-30,0.45
2008-3-31,0.79
2007-12-31,0.55
2007-9-30,0.55
2007-6-30,0.35
2007-3-31,0.7
2006-12-31,0.54
2006-9-30,0.46
2006-6-30,1.22
2006-3-31,0.64
2005-12-31,0.45
2005-9-30,0.38
2005-6-30,-0.03
2005-3-31,0.57
2004-12-31,0.42
2004-9-30,0.35
