Date,EPS 
2016-12-31,0.76
2016-9-30,-1.56
2016-6-30,1.02
2016-3-31,1.02
2015-12-31,0.95
2015-9-30,1.06
2015-6-30,0.88
2015-3-31,1.29
2014-12-31,0.39
2014-9-30,1.01
2014-6-30,0.8
2014-3-31,1.15
2013-12-31,0.71
2013-9-30,0.89
2013-6-30,0.69
2013-3-31,0.75
2012-12-31,0.05
2012-9-30,1.0
2012-6-30,0.75
2012-3-31,0.8
2011-12-31,0.63
2011-9-30,1.92
2011-6-30,0.73
2011-3-31,0.73
2010-12-31,0.37
2010-9-30,1.16
2010-6-30,0.28
2010-3-31,0.72
2009-12-31,0.49
2009-9-30,0.93
2009-6-30,0.67
2009-3-31,0.89
2008-12-31,0.37
2008-9-30,0.93
2008-6-30,0.7
2008-3-31,1.43
2007-12-31,0.57
2007-9-30,1.02
2007-6-30,0.45
2007-3-31,0.68
2006-12-31,0.46
2006-9-30,0.67
2006-6-30,0.44
2006-3-31,0.96
2005-12-31,-0.39
2005-9-30,0.99
2005-6-30,0.58
2005-3-31,0.9
2004-12-31,0.45
2004-9-30,1.34
