Date,EPS 
2016-12-31,0.3917
2016-9-30,1.7
2016-6-30,2.23
2016-3-31,2.06
2015-12-31,0.91
2015-9-30,1.59
2015-6-30,2.08
2015-3-31,2.2
2014-12-31,0.67
2014-9-30,1.67
2014-6-30,1.52
2014-3-31,1.82
2013-12-31,0.98
2013-9-30,1.38
2013-6-30,1.49
2013-3-31,1.48
2012-12-31,0.58
2012-9-30,1.47
2012-6-30,1.32
2012-3-31,1.43
2011-12-31,1.03
2011-9-30,1.3
2011-6-30,1.39
2011-3-31,1.5
2010-12-31,0.57
2010-9-30,1.19
2010-6-30,1.14
2010-3-31,1.28
2009-12-31,0.38
2009-9-30,0.73
2009-6-30,0.77
2009-3-31,0.95
2008-12-31,0.43
2008-9-30,0.58
2008-6-30,0.97
2008-3-31,0.85
2007-12-31,0.86
2007-9-30,0.95
2007-6-30,0.85
2007-3-31,0.81
2006-12-31,0.8
2006-9-30,0.85
2006-6-30,0.67
2006-3-31,0.68
2005-12-31,0.69
2005-9-30,0.62
2005-6-30,0.65
2005-3-31,0.64
2004-12-31,0.51
2004-9-30,2.05
