Date,EPS 
2016-12-31,1.83
2016-9-30,1.53
2016-6-30,1.32
2016-3-31,1.74
2015-12-31,1.71
2015-9-30,1.32
2015-6-30,1.32
2015-3-31,1.51
2014-12-31,1.57
2014-9-30,1.56
2014-6-30,1.78
2014-3-31,1.6
2013-12-31,1.45
2013-9-30,1.5
2013-6-30,1.9
2013-3-31,1.9
2012-12-31,1.24
2012-9-30,2.16
2012-6-30,1.03
2012-3-31,1.68
2011-12-31,1.14
2011-9-30,1.57
2011-6-30,0.58
2011-3-31,0.83
2010-12-31,0.89
2010-9-30,1.46
2010-6-30,1.23
2010-3-31,1.35
2009-12-31,0.53
2009-9-30,0.77
2009-6-30,0.67
2009-3-31,1.22
2008-12-31,0.43
2008-9-30,0.21
2008-6-30,1.0
2008-3-31,0.98
2007-12-31,0.78
2007-9-30,0.85
2007-6-30,0.84
2007-3-31,0.84
2006-12-31,0.66
2006-9-30,0.73
2006-6-30,0.81
2006-3-31,0.74
2005-12-31,0.72
2005-9-30,0.9
2005-6-30,0.66
2005-3-31,0.64
2004-12-31,0.8
2004-9-30,0.57
