Date,EPS 
2016-12-31,0.74
2016-9-30,38.58
2016-6-30,-1.44
2016-3-31,0.47
2015-12-31,-2.2
2015-9-30,13.29
2015-6-30,-0.8
2015-3-31,-1.85
2014-12-31,-3.03
2014-9-30,-3.95
2014-6-30,0.28
2014-3-31,0.55
2013-12-31,-0.7
2013-9-30,0.49
2013-6-30,-4.27
2013-3-31,-0.79
2012-12-31,0.22
2012-9-30,0.6
2012-6-30,-0.49
2012-3-31,0.43
2011-12-31,0.75
2011-9-30,0.54
2011-6-30,0.42
2011-3-31,0.36
2010-12-31,0.14
2010-9-30,0.21
2010-6-30,0.57
2010-3-31,0.57
2009-12-31,0.51
2009-9-30,0.55
2009-6-30,0.46
2009-3-31,0.43
2008-12-31,0.49
2008-9-30,0.62
2008-6-30,0.53
2008-3-31,0.45
2007-12-31,0.34
2007-9-30,0.31
2007-6-30,0.33
2007-3-31,0.29
2006-12-31,-4.8
2006-9-30,0.31
2006-6-30,-0.15
2006-3-31,0.23
2005-12-31,0.2
2005-9-30,0.35
2005-6-30,0.35
2005-3-31,0.32
2004-12-31,0.45
2004-9-30,0.13
