Date,EPS 
2016-12-31,-2.75
2016-9-30,0.42
2016-6-30,1.68
2016-3-31,-0.16
2015-12-31,-1.36
2015-9-30,-0.18
2015-6-30,1.32
2015-3-31,1.78
2014-12-31,0.49
2014-9-30,1.52
2014-6-30,2.1
2014-3-31,1.09
2013-12-31,1.33
2013-9-30,1.46
2013-6-30,1.84
2013-3-31,1.49
2012-12-31,-2.17
2012-9-30,1.13
2012-6-30,1.33
2012-3-31,1.71
2011-12-31,11.96
2011-9-30,-2.1
2011-6-30,1.0
2011-3-31,0.31
2010-12-31,16.65
2010-9-30,-18.53
2010-6-30,-19.57
2010-3-31,2.66
2009-12-31,-65.56
2009-9-30,0.68
2009-6-30,2.3
2009-3-31,-39.67
2008-12-31,-468.86
2008-9-30,-181.02
2008-6-30,-41.13
2008-3-31,-61.8
2007-12-31,-40.6
2007-9-30,23.8
2007-6-30,32.8
2007-3-31,31.6
2006-12-31,26.4
2006-9-30,32.2
2006-6-30,24.2
2006-3-31,24.4
2005-12-31,3.4
2005-9-30,13.2
2005-6-30,34.2
2005-3-31,29.0
2004-12-31,11.0
2004-9-30,20.4
