Date,EPS 
2016-12-31,0.52
2016-9-30,0.43
2016-6-30,0.42
2016-3-31,0.42
2015-12-31,0.49
2015-9-30,0.49
2015-6-30,0.37
2015-3-31,0.43
2014-12-31,0.53
2014-9-30,0.5
2014-6-30,0.4
2014-3-31,0.4
2013-12-31,0.44
2013-9-30,0.44
2013-6-30,0.34
2013-3-31,0.39
2012-12-31,0.37
2012-9-30,0.27
2012-6-30,0.24
2012-3-31,0.24
2011-12-31,0.33
2011-9-30,0.23
2011-6-30,0.25
2011-3-31,0.26
2010-12-31,0.27
2010-9-30,0.21
2010-6-30,0.2
2010-3-31,0.22
2009-12-31,0.21
2009-9-30,0.18
2009-6-30,0.19
2009-3-31,0.2
2008-12-31,0.23
2008-9-30,0.18
2008-6-30,0.19
2008-3-31,0.2
2007-12-31,0.2
2007-9-30,0.13
2007-6-30,0.12
2007-3-31,0.11
2006-12-31,0.12
2006-9-30,0.08
2006-6-30,0.07
2006-3-31,0.07
2005-12-31,0.11
2005-9-30,1.71
2005-6-30,0.11
2005-3-31,0.1
2004-12-31,0.09
2004-9-30,0.08
