Date,EPS 
2017-1-31,0.65
2016-10-31,0.55
2016-7-31,0.46
2016-4-30,0.29
2016-1-31,0.25
2015-10-31,0.28
2015-7-31,0.27
2015-4-30,0.29
2015-1-31,0.28
2014-10-31,0.21
2014-7-31,0.24
2014-4-30,0.21
2014-1-31,0.21
2013-10-31,0.15
2013-7-31,0.14
2013-4-30,-0.11
2013-1-31,0.03
2012-10-31,-0.4
2012-7-31,0.17
2012-4-30,0.22
2012-1-31,0.09
2011-10-31,0.35
2011-7-31,0.36
2011-4-30,0.37
2011-1-31,0.38
2010-10-31,0.35
2010-7-31,0.09
2010-4-30,0.2
2010-1-31,0.0615
2009-10-31,0.1
2009-7-31,-0.04
2009-4-30,-0.19
2009-1-31,-0.1
2008-10-31,0.17
2008-7-31,0.12
2008-4-30,0.22
2008-1-31,0.19
2007-10-31,0.29
2007-7-31,0.34
2007-4-30,0.29
2007-1-31,0.29
2006-10-31,0.3
2006-7-31,0.33
2006-4-30,0.26
2006-1-31,0.09
2005-10-31,0.15
2005-7-31,0.23
2005-4-30,0.18
2005-1-31,0.17
2004-10-31,0.26
