Date,EPS 
2016-12-31,2.69
2016-9-30,2.0
2016-6-30,1.97
2016-3-31,1.92
2015-12-31,2.66
2015-9-30,1.96
2015-6-30,2.31
2015-3-31,2.28
2014-12-31,2.72
2014-9-30,1.82
2014-6-30,1.75
2014-3-31,1.4
2013-12-31,2.85
2013-9-30,1.37
2013-6-30,1.18
2013-3-31,1.15
2012-12-31,1.41
2012-9-30,1.04
2012-6-30,0.12
2012-3-31,0.71
2011-12-31,0.77
2011-9-30,0.76
2011-6-30,0.85
2011-3-31,0.74
2010-12-31,1.24
2010-9-30,0.65
2010-6-30,0.53
2010-3-31,0.38
2009-12-31,0.56
2009-9-30,0.4
2009-6-30,0.26
2009-3-31,0.15
2008-12-31,-2.49
2008-9-30,0.59
2008-6-30,0.82
2008-3-31,0.81
2007-12-31,1.51
2007-9-30,1.07
2007-6-30,1.04
2007-3-31,0.93
2006-12-31,1.21
2006-9-30,0.87
2006-6-30,0.86
2006-3-31,0.81
2005-12-31,0.9
2005-9-30,0.67
2005-6-30,0.63
2005-3-31,0.61
2004-12-31,0.58
2004-9-30,0.46
