Date,EPS 
2016-12-31,2.44
2016-9-30,1.3
2016-6-30,1.97
2016-3-31,2.09
2015-12-31,2.0
2015-9-30,2.17
2015-6-30,2.23
2015-3-31,2.08
2014-12-31,2.22
2014-9-30,2.17
2014-6-30,1.91
2014-3-31,2.01
2013-12-31,1.47
2013-9-30,1.86
2013-6-30,1.54
2013-3-31,1.58
2012-12-31,1.78
2012-9-30,0.79
2012-6-30,0.99
2012-3-31,1.05
2011-12-31,1.01
2011-9-30,1.34
2011-6-30,1.25
2011-3-31,0.94
2010-12-31,1.08
2010-9-30,1.32
2010-6-30,0.98
2010-3-31,0.81
2009-12-31,0.91
2009-9-30,1.0
2009-6-30,0.41
2009-3-31,0.58
2008-12-31,-1.64
2008-9-30,-0.32
2008-6-30,0.93
2008-3-31,0.82
2007-12-31,1.07
2007-9-30,0.83
2007-6-30,0.81
2007-3-31,0.68
2006-12-31,0.69
2006-9-30,0.71
2006-6-30,0.57
2006-3-31,0.57
2005-12-31,0.45
2005-9-30,0.5
2005-6-30,0.63
2005-3-31,0.74
2004-12-31,0.95
2004-9-30,0.81
