Date,EPS 
2016-12-31,1.13
2016-9-30,1.05
2016-6-30,1.08
2016-3-31,0.89
2015-12-31,0.88
2015-9-30,1.04
2015-6-30,1.0
2015-3-31,0.97
2014-12-31,1.01
2014-9-30,0.9
2014-6-30,0.83
2014-3-31,0.78
2013-12-31,0.89
2013-9-30,0.75
2013-6-30,0.73
2013-3-31,0.67
2012-12-31,0.68
2012-9-30,0.66
2012-6-30,0.64
2012-3-31,0.55
2011-12-31,0.49
2011-9-30,0.48
2011-6-30,0.48
2011-3-31,0.46
2010-12-31,0.44
2010-9-30,0.38
2010-6-30,0.29
2010-3-31,0.32
2009-12-31,0.35
2009-9-30,0.36
2009-6-30,0.21
2009-3-31,0.2
2008-12-31,0.36
2008-9-30,-7.99
2008-6-30,0.29
2008-3-31,0.28
2007-12-31,0.29
2007-9-30,0.37
2007-6-30,0.37
2007-3-31,0.37
2006-12-31,0.35
2006-9-30,0.38
2006-6-30,0.32
2006-3-31,0.33
2005-12-31,0.28
2005-9-30,0.48
2005-6-30,0.73
2005-3-31,0.36
2004-12-31,0.6
2004-9-30,0.34
