Date,EPS 
2016-12-31,-0.94
2016-9-30,-1.61
2016-6-30,-1.36
2016-3-31,-2.03
2015-12-31,-2.45
2015-9-30,-4.41
2015-6-30,0.12
2015-3-31,-6.45
2014-12-31,-0.78
2014-9-30,2.12
2014-6-30,0.45
2014-3-31,-5.3
2013-12-31,-1.53
2013-9-30,0.36
2013-6-30,1.83
2013-3-31,0.91
2012-12-31,0.4
2012-9-30,0.24
2012-6-30,-0.18
2012-3-31,4.28
2011-12-31,-0.72
2011-9-30,-6.12
2011-6-30,1.08
2011-3-31,0.43
2010-12-31,0.22
2010-9-30,-0.05
2010-6-30,-0.08
2010-3-31,1.43
2009-12-31,0.49
2009-9-30,0.4
2009-6-30,-0.48
2009-3-31,-0.73
2008-12-31,1.69
2008-9-30,4.58
2008-6-30,0.05
2008-3-31,0.6
2007-12-31,0.32
2007-9-30,1.07
2007-6-30,2.81
2007-3-31,3.7
2006-12-31,4.15
2006-9-30,2.99
2006-6-30,1.76
2006-3-31,1.42
2005-12-31,1.56
2005-9-30,1.25
2005-6-30,1.06
2005-3-31,1.025
2004-12-31,0.82
2004-9-30,0.79
