Date,EPS 
2016-12-31,1.37
2016-9-30,1.8
2016-6-30,1.59
2016-3-31,-2.17
2015-12-31,1.67
2015-9-30,1.58
2015-6-30,1.47
2015-3-31,1.33
2014-12-31,1.5
2014-9-30,0.48
2014-6-30,1.46
2014-3-31,1.32
2013-12-31,1.35
2013-9-30,0.64
2013-6-30,1.36
2013-3-31,1.38
2012-12-31,1.31
2012-9-30,0.65
2012-6-30,2.26
2012-3-31,1.38
2011-12-31,1.16
2011-9-30,1.51
2011-6-30,1.5
2011-3-31,1.39
2010-12-31,1.23
2010-9-30,1.25
2010-6-30,1.17
2010-3-31,1.16
2009-12-31,1.16
2009-9-30,1.14
2009-6-30,0.53
2009-3-31,0.97
2008-12-31,0.32
2008-9-30,1.2
2008-6-30,0.32
2008-3-31,1.43
2007-12-31,1.19
2007-9-30,1.31
2007-6-30,1.28
2007-3-31,1.02
2006-12-31,1.03
2006-9-30,0.57
2006-6-30,0.92
2006-3-31,0.89
2005-12-31,0.8
2005-9-30,-2.318
2005-6-30,0.82
2005-3-31,0.75
2004-12-31,0.72
2004-9-30,-1.923
