Date,EPS 
2016-12-31,0.34
2016-9-30,0.26
2016-6-30,0.17
2016-3-31,0.45
2015-12-31,0.21
2015-9-30,0.17
2015-6-30,0.29
2015-3-31,0.53
2014-12-31,0.49
2014-9-30,-0.03
2014-6-30,0.28
2014-3-31,0.4
2013-12-31,0.22
2013-9-30,0.05
2013-6-30,0.28
2013-3-31,0.4
2012-12-31,0.31
2012-9-30,0.2
2012-6-30,0.16
2012-3-31,0.33
2011-12-31,0.08
2011-9-30,0.13
2011-6-30,0.29
2011-3-31,0.42
2010-12-31,-0.19
2010-9-30,0.04
2010-6-30,0.17
2010-3-31,0.3
2009-12-31,-0.22
2009-9-30,0.01
2009-6-30,0.15
2009-3-31,0.14
2008-12-31,-0.07
2008-9-30,-0.08
2008-6-30,0.09
2008-3-31,0.07
2007-12-31,0.43
2007-9-30,0.0
2007-6-30,0.045
2007-3-31,-0.025
2006-12-31,0.23
2006-9-30,-0.045
2006-6-30,-0.035
2006-3-31,-0.015
2005-12-31,0.115
2005-9-30,-0.025
2005-6-30,-0.005
2005-3-31,-0.005
2004-12-31,0.175
2004-9-30,0.045
