Date,EPS 
2017-1-31,0.57
2016-10-31,-1.64
2016-7-31,-0.75
2016-4-30,-3.02
2016-1-31,1.3
2015-10-31,1.55
2015-7-31,0.84
2015-4-30,1.21
2015-1-31,1.26
2014-10-31,0.51
2014-7-31,-0.65
2014-4-30,0.61
2014-1-31,0.53
2013-10-31,0.68
2013-7-31,0.56
2013-4-30,0.45
2013-1-31,0.5
2012-10-31,0.64
2012-7-31,0.58
2012-4-30,0.54
2012-1-31,0.5
2011-10-31,0.62
2011-7-31,0.57
2011-4-30,0.54
2011-1-31,0.48
2010-10-31,0.67
2010-7-31,0.5
2010-4-30,0.37
2010-1-31,0.16
2009-10-31,-0.09
2009-7-31,0.01
2009-4-30,-0.14
2009-1-31,0.03
2008-10-31,0.08
2008-7-31,0.2
