Date,EPS 
2016-8-31,1.88
2016-5-31,1.69
2016-2-29,1.49
2015-11-30,1.57
2015-8-31,1.37
2015-5-31,1.48
2015-2-28,1.07
2014-11-30,1.17
2014-8-31,1.26
2014-5-31,1.01
2014-2-28,0.75
2013-11-30,1.03
2013-8-31,1.04
2013-5-31,0.73
2013-2-28,0.57
2012-11-30,0.61
2012-8-31,0.77
2012-5-31,0.79
2012-2-29,0.46
2011-11-30,0.7
2011-8-31,0.79
2011-5-31,0.62
2011-2-28,0.45
2010-11-30,0.56
2010-8-31,0.62
2010-5-31,0.48
2010-2-28,0.17
2009-11-30,0.53
2009-8-31,0.67
2009-5-31,0.51
2009-2-28,0.34
2008-11-30,0.48
2008-8-31,1.02
2008-5-31,1.0
2008-2-29,0.82
2007-11-30,0.72
2007-8-31,1.17
2007-5-31,0.88
2007-2-28,0.55
2006-11-30,0.77
2006-8-31,0.91
2006-5-31,0.63
2006-2-28,0.32
2005-11-30,0.48
2005-8-31,0.62
2005-5-31,0.44
2005-2-28,-0.2
2004-11-30,0.3
2004-8-31,0.62
2004-5-31,0.42
