Date,EPS 
2016-11-30,0.85
2016-8-31,1.11
2016-5-31,0.8
2016-2-29,1.88
2015-11-30,1.09
2015-8-31,1.21
2015-5-31,0.93
2015-2-28,1.76
2014-11-30,1.23
2014-8-31,1.17
2014-5-31,0.93
2014-2-28,1.59
2013-11-30,1.12
2013-8-31,1.16
2013-5-31,0.93
2013-2-28,1.67
2012-11-30,1.03
2012-8-31,0.98
2012-5-31,0.89
2012-2-29,1.46
2011-11-30,0.95
2011-8-31,0.93
2011-5-31,0.72
2011-2-28,1.12
2010-11-30,0.74
2010-8-31,0.7
2010-5-31,0.52
2010-2-28,0.86
2009-11-30,0.58
2009-8-31,0.52
2009-5-31,0.34
2009-2-28,0.54
2008-11-30,0.34
2008-8-31,0.46
2008-5-31,0.3
2008-2-29,0.66
2007-11-30,0.52
2007-8-31,0.55
2007-5-31,0.38
2007-2-28,0.73
2006-11-30,0.5
2006-8-31,0.51
2006-5-31,0.35
2006-2-28,0.67
2005-11-30,0.45
2005-8-31,0.47
2005-5-31,0.33
2005-2-28,0.59
2004-11-30,0.4
2004-8-31,0.39
