Date,EPS 
2016-12-31,0.72
2016-9-30,0.73
2016-6-30,0.66
2016-3-31,0.67
2015-12-31,0.64
2015-9-30,0.64
2015-6-30,0.62
2015-3-31,0.67
2014-12-31,0.75
2014-9-30,0.7
2014-6-30,0.58
2014-3-31,0.68
2013-12-31,0.75
2013-9-30,0.37
2013-6-30,0.77
2013-3-31,0.29
2012-12-31,0.71
2012-9-30,0.66
2012-6-30,0.72
2012-3-31,0.61
2011-12-31,0.56
2011-9-30,0.52
2011-6-30,0.44
2011-3-31,0.32
2010-12-31,0.29
2010-9-30,0.3
2010-6-30,0.3
2010-3-31,0.27
2009-12-31,0.27
2009-9-30,0.23
2009-6-30,0.2
2009-3-31,0.48
2008-12-31,0.51
2008-9-30,0.65
2008-6-30,0.78
2008-3-31,0.78
2007-12-31,0.74
2007-9-30,0.8
2007-6-30,0.83
2007-3-31,0.77
2006-12-31,0.46
2006-9-30,0.77
2006-6-30,0.79
2006-3-31,0.79
2005-12-31,0.78
2005-9-30,0.8
2005-6-30,0.7
2005-3-31,0.71
2004-12-31,0.75
2004-9-30,0.74
