Date,EPS 
2017-1-31,1.91
2016-10-31,0.61
2016-7-31,0.61
2016-4-30,0.7
2016-1-31,1.38
2015-10-31,0.36
2015-7-31,0.46
2015-4-30,0.36
2015-1-31,1.47
2014-10-31,0.3
2014-7-31,0.42
2014-4-30,1.31
2014-1-31,0.84
2013-10-31,0.16
2013-7-31,0.77
2013-4-30,-0.24
2012-10-31,-0.03
2012-7-31,0.04
2012-4-30,0.46
2012-2-29,-4.61
2011-11-30,0.42
2011-8-31,0.47
2011-5-31,0.35
2011-2-28,1.58
2010-11-30,0.54
2010-8-31,0.6
2010-5-31,0.36
2010-2-28,1.83
2009-11-30,0.53
2009-8-31,0.37
2009-5-31,0.36
2009-2-28,1.35
2008-11-30,0.13
2008-8-31,0.48
2008-5-31,0.43
2008-2-29,1.65
2007-11-30,0.53
2007-8-31,0.55
2007-5-31,0.39
2007-2-28,1.55
2006-11-30,0.31
2006-8-31,0.47
2006-5-31,0.47
2006-2-28,1.28
2005-11-30,0.28
2005-8-31,0.37
2005-5-31,0.34
2005-2-28,1.13
2004-11-30,0.3
2004-8-31,0.3
