Date,EPS 
2016-12-31,2.11
2016-9-30,1.27
2016-6-30,2.11
2016-3-31,1.54
2015-12-31,1.78
2015-9-30,-1.16
2015-6-30,-0.74
2015-3-31,1.82
2014-12-31,1.72
2014-9-30,1.69
2014-6-30,-1.59
2014-3-31,1.86
2013-12-31,8.12
2013-9-30,1.15
2013-6-30,-2.03
2013-3-31,1.08
2012-12-31,1.52
2012-9-30,1.5
2012-6-30,1.54
2012-3-31,1.6
2011-12-31,1.29
2011-9-30,1.46
2011-6-30,-0.55
2011-3-31,1.49
2010-12-31,1.46
2010-9-30,1.34
2010-6-30,1.29
2010-3-31,1.24
2009-12-31,1.08
2009-9-30,1.31
2009-6-30,1.11
2009-3-31,1.1
2008-12-31,1.46
2008-9-30,1.08
2008-6-30,0.76
2008-3-31,0.75
2007-12-31,1.01
2007-9-30,0.96
2007-6-30,0.91
2007-3-31,0.95
2006-12-31,0.21
2006-9-30,0.82
2006-6-30,0.76
2006-3-31,0.76
2005-12-31,0.75
2005-9-30,0.83
2005-6-30,0.79
2005-3-31,0.75
2004-12-31,0.65
2004-9-30,0.95
