Date,EPS 
2016-12-31,3.01
2016-9-30,4.71
2016-6-30,4.79
2016-3-31,4.43
2015-12-31,3.77
2015-9-30,4.15
2015-6-30,3.93
2015-3-31,3.49
2014-12-31,3.73
2014-9-30,3.62
2014-6-30,3.01
2014-3-31,2.02
2013-12-31,1.92
2013-9-30,2.05
2013-6-30,2.06
2013-3-31,1.79
2012-12-31,1.23
2012-9-30,1.67
2012-6-30,1.61
2012-3-31,1.25
2011-12-31,1.23
2011-9-30,1.43
2011-6-30,1.18
2011-3-31,1.2
2010-12-31,0.99
2010-9-30,1.05
2010-6-30,1.12
2010-3-31,0.8
2009-12-31,1.07
2009-9-30,0.95
2009-6-30,0.49
2009-3-31,0.84
2008-12-31,0.7
2008-9-30,0.7
2008-6-30,0.7
2008-3-31,0.54
2007-12-31,0.65
2007-9-30,0.41
2007-6-30,0.54
2007-3-31,0.38
2006-12-31,0.32
2006-9-30,0.45
2006-6-30,-0.5
2006-3-31,0.36
2005-12-31,0.16
2005-9-30,0.08
2005-6-30,0.1
2005-3-31,0.12
2004-12-31,0.08
2004-9-30,0.1
