Date,EPS 
2016-12-31,5.12
2016-9-30,5.26
2016-6-30,4.73
2016-3-31,3.92
2015-12-31,5.11
2015-9-30,5.0
2015-6-30,4.84
2015-3-31,4.84
2014-12-31,4.77
2014-9-30,5.37
2014-6-30,4.72
2014-3-31,4.4
2013-12-31,4.85
2013-9-30,4.21
2013-6-30,4.19
2013-3-31,3.62
2012-12-31,3.92
2012-9-30,3.65
2012-6-30,3.08
2012-3-31,3.14
2011-12-31,3.04
2011-9-30,3.23
2011-6-30,3.21
2011-3-31,2.89
2010-12-31,3.34
2010-9-30,2.83
2010-6-30,2.21
2010-3-31,2.17
2009-12-31,1.61
2009-9-30,2.27
2009-6-30,1.59
2009-3-31,0.62
2008-12-31,0.39
2008-9-30,1.59
2008-6-30,2.0
2008-3-31,1.77
2007-12-31,2.41
2007-9-30,1.94
2007-6-30,1.69
2007-3-31,1.48
2006-12-31,1.58
2006-9-30,0.28
2006-6-30,0.95
2006-3-31,1.06
2005-12-31,1.09
2005-9-30,0.92
2005-6-30,0.8
2005-3-31,0.7
2004-12-31,0.75
2004-9-30,-0.15
