Date,EPS 
2016-12-31,0.28
2016-9-30,0.0
2016-6-30,2.33
2016-3-31,-0.9
2015-12-31,0.39
2015-9-30,0.32
2015-6-30,1.13
2015-3-31,0.15
2014-12-31,0.54
2014-9-30,1.04
2014-6-30,1.07
2014-3-31,0.65
2013-12-31,0.85
2013-9-30,0.78
2013-6-30,0.63
2013-3-31,0.47
2012-12-31,0.34
2012-9-30,0.73
2012-6-30,0.88
2012-3-31,0.55
2011-12-31,0.48
2011-9-30,0.79
2011-6-30,0.84
2011-3-31,0.53
2010-12-31,0.53
2010-9-30,1.25
2010-6-30,0.37
2010-3-31,0.42
2009-12-31,0.425
2009-9-30,0.545
2009-6-30,0.7
2009-3-31,0.365
2008-12-31,0.19
2008-9-30,0.525
2008-6-30,0.51
2008-3-31,0.425
2007-12-31,0.17
2007-9-30,0.295
2007-6-30,0.515
2007-3-31,0.39
2006-12-31,0.23
2006-9-30,0.51
2006-6-30,0.615
2006-3-31,0.21
2005-12-31,0.265
2005-9-30,0.365
2005-6-30,0.355
2005-3-31,0.255
2004-12-31,0.275
2004-9-30,0.45
