Date,EPS 
2016-12-31,0.53
2016-9-30,0.72
2016-6-30,0.69
2016-3-31,0.71
2015-12-31,-0.12
2015-9-30,0.42
2015-6-30,-0.08
2015-3-31,0.71
2014-12-31,0.01
2014-9-30,0.43
2014-6-30,0.2
2014-3-31,0.56
2013-12-31,0.43
2013-9-30,0.42
2013-6-30,0.32
2013-3-31,0.37
2012-12-31,0.55
2012-9-30,-0.43
2012-6-30,0.38
2012-3-31,0.64
2011-12-31,0.5
2011-9-30,0.56
2011-6-30,0.52
2011-3-31,0.57
2010-12-31,0.28
2010-9-30,0.55
2010-6-30,0.53
2010-3-31,0.43
2009-12-31,4.04
2009-9-30,0.48
2009-6-30,0.49
2009-3-31,0.32
2008-12-31,0.61
2008-9-30,1.29
2008-6-30,0.38
2008-3-31,0.33
2007-12-31,-0.05
2007-9-30,0.43
2007-6-30,0.36
2007-3-31,0.35
2006-12-31,-0.07
2006-9-30,0.17
2006-6-30,0.34
2006-3-31,0.36
2005-12-31,0.25
2005-9-30,0.49
2005-6-30,0.5
2005-3-31,0.27
2004-12-31,0.07
2004-9-30,0.38
