Date,EPS 
2016-12-31,0.5
2016-9-30,0.5
2016-6-30,0.47
2016-3-31,0.41
2015-12-31,0.53
2015-9-30,0.39
2015-6-30,0.48
2015-3-31,0.34
2014-12-31,0.5
2014-9-30,0.58
2014-6-30,0.49
2014-3-31,0.25
2013-12-31,0.51
2013-9-30,0.53
2013-6-30,0.73
2013-3-31,0.53
2012-12-31,0.55
2012-9-30,0.48
2012-6-30,0.51
2012-3-31,0.45
2011-12-31,0.54
2011-9-30,0.47
2011-6-30,0.47
2011-3-31,0.37
2010-12-31,0.39
2010-9-30,0.43
2010-6-30,0.42
2010-3-31,0.2
2009-12-31,0.49
2009-9-30,0.41
2009-6-30,0.37
2009-3-31,0.12
2008-12-31,0.39
2008-9-30,0.39
2008-6-30,0.37
2008-3-31,0.13
2007-12-31,0.31
2007-9-30,0.26
2007-6-30,0.24
2007-3-31,-0.03
2006-12-31,0.09
2006-9-30,0.09
2006-6-30,0.06
2006-3-31,-0.07
2005-12-31,0.1
2005-9-30,0.08
2005-6-30,0.16
2005-3-31,0.08
2004-12-31,0.05
2004-9-30,-0.17
