Date,EPS 
2016-12-31,1.02
2016-9-30,0.96
2016-6-30,1.02
2016-3-31,1.17
2015-12-31,0.98
2015-9-30,1.15
2015-6-30,0.88
2015-3-31,1.09
2014-12-31,0.86
2014-9-30,0.78
2014-6-30,0.68
2014-3-31,0.91
2013-12-31,0.8
2013-9-30,0.99
2013-6-30,-1.72
2013-3-31,1.0
2012-12-31,0.88
2012-9-30,0.79
2012-6-30,0.68
2012-3-31,0.95
2011-12-31,0.75
2011-9-30,0.68
2011-6-30,0.57
2011-3-31,0.7
2010-12-31,0.61
2010-9-30,0.84
2010-6-30,0.61
2010-3-31,0.61
2009-12-31,0.65
2009-9-30,-0.11
2009-6-30,0.75
2009-3-31,0.87
2008-12-31,0.88
2008-9-30,0.69
2008-6-30,0.88
2008-3-31,0.99
2007-12-31,0.89
2007-9-30,0.82
2007-6-30,2.26
2007-3-31,0.05
2006-12-31,1.8
2006-9-30,0.66
2006-6-30,0.75
2006-3-31,0.34
2005-12-31,0.7
2005-9-30,0.53
2005-6-30,0.59
2005-3-31,0.84
2004-12-31,0.49
2004-9-30,0.49
