Date,EPS 
2016-12-31,3.43
2016-9-30,2.88
2016-6-30,1.54
2016-3-31,0.97
2015-12-31,2.09
2015-9-30,1.62
2015-6-30,2.86
2015-3-31,2.05
2014-12-31,1.67
2014-9-30,2.32
2014-6-30,2.28
2014-3-31,2.14
2013-12-31,2.9
2013-9-30,2.66
2013-6-30,2.59
2013-3-31,2.77
2012-12-31,2.22
2012-9-30,1.86
2012-6-30,0.96
2012-3-31,2.84
2011-12-31,2.16
2011-9-30,-0.11
2011-6-30,1.74
2011-3-31,0.73
2010-12-31,2.93
2010-9-30,1.97
2010-6-30,1.98
2010-3-31,2.22
2009-12-31,2.82
2009-9-30,1.46
2009-6-30,1.58
2009-3-31,1.69
2008-12-31,0.05
2008-9-30,0.16
2008-6-30,2.18
2008-3-31,1.1
2007-12-31,1.68
2007-9-30,1.95
2007-6-30,1.93
2007-3-31,2.1
2006-12-31,1.99
2006-9-30,1.73
2006-6-30,1.72
2006-3-31,1.46
2005-12-31,0.68
2005-9-30,-0.43
2005-6-30,1.58
2005-3-31,1.48
2004-12-31,0.93
2004-9-30,-0.03
