Date,EPS 
2016-9-30,1.07
2016-6-30,0.93
2016-3-31,1.02
2015-12-31,0.56
2015-9-30,0.88
2015-6-30,0.67
2015-3-31,0.78
2014-12-31,0.83
2014-9-30,3.03
2014-6-30,0.76
2014-3-31,0.78
2013-12-31,0.76
2013-9-30,0.8
2013-6-30,0.76
2013-3-31,0.69
2012-12-31,0.61
2012-9-30,0.6
2012-6-30,0.65
2012-3-31,0.54
2011-12-31,0.56
2011-9-30,0.5
2011-6-30,0.58
2011-3-31,0.29
2010-12-31,0.4
2010-9-30,0.46
2010-6-30,0.22
2010-3-31,-0.04
2009-12-31,0.08
2009-9-30,0.3
2009-6-30,0.02
2009-3-31,-0.08
2008-12-31,0.21
2008-9-30,-18.58
2008-6-30,0.61
2008-3-31,0.36
2007-12-31,0.43
2007-9-30,0.48
2007-6-30,0.55
2007-3-31,0.28
2006-12-31,0.43
2006-9-30,0.41
2006-6-30,1.02
2006-3-31,0.3
2005-12-31,-11.54
2005-9-30,0.9
2005-6-30,0.94
2005-3-31,0.72
2004-12-31,-21.51
2004-9-30,-0.56
2004-6-30,0.86
