Date,EPS 
2016-12-31,0.92
2016-9-30,0.84
2016-6-30,0.58
2016-3-31,0.34
2015-12-31,0.64
2015-9-30,0.74
2015-6-30,0.73
2015-3-31,0.73
2014-12-31,0.81
2014-9-30,0.82
2014-6-30,0.8
2014-3-31,0.73
2013-12-31,0.62
2013-9-30,0.78
2013-6-30,0.76
2013-3-31,0.7
2012-12-31,0.67
2012-9-30,0.61
2012-6-30,0.73
2012-3-31,0.66
2011-12-31,0.48
2011-9-30,0.51
2011-6-30,0.53
2011-3-31,0.57
2010-12-31,0.54
2010-9-30,0.33
2010-6-30,0.39
2010-3-31,-0.46
2009-12-31,-0.42
2009-9-30,-0.1
2009-6-30,-0.11
2009-3-31,-0.16
2008-12-31,0.0
2008-9-30,0.19
2008-6-30,0.37
2008-3-31,0.73
2007-12-31,0.8
2007-9-30,1.18
2007-6-30,1.25
2007-3-31,1.19
2006-12-31,1.85
2006-9-30,1.23
2006-6-30,1.22
2006-3-31,1.18
2005-12-31,1.26
2005-9-30,1.41
2005-6-30,1.28
2005-3-31,1.16
2004-12-31,1.21
2004-9-30,1.13
