Date,EPS 
2016-12-31,0.475
2016-9-30,0.46
2016-6-30,0.415
2016-3-31,0.435
2015-12-31,0.395
2015-9-30,0.4
2015-6-30,0.42
2015-3-31,0.405
2014-12-31,0.37
2014-9-30,0.495
2014-6-30,0.38
2014-3-31,0.355
2013-12-31,0.36
2013-9-30,0.325
2013-6-30,0.325
2013-3-31,0.27
2012-12-31,0.28
2012-9-30,0.39
2012-6-30,0.25
2012-3-31,0.225
2011-12-31,0.235
2011-9-30,0.165
2011-6-30,0.185
2011-3-31,0.17
2010-12-31,0.18
2010-9-30,0.155
2010-6-30,0.155
2010-3-31,0.155
2009-12-31,0.165
2009-9-30,0.165
2009-6-30,0.165
2009-3-31,0.135
2008-12-31,0.07
2008-9-30,0.13
2008-6-30,0.105
2008-3-31,0.12
2007-12-31,0.1
2007-9-30,0.09
2007-6-30,0.095
2007-3-31,0.13
2006-12-31,0.06
2006-9-30,0.19
2006-6-30,0.075
2006-3-31,0.075
2005-12-31,-0.0267
2005-9-30,0.0333
2005-6-30,0.0633
2005-3-31,0.02
2004-12-31,0.065
2004-9-30,0.0333
