Date,EPS 
2016-12-31,1.1
2016-9-30,1.39
2016-6-30,0.95
2016-3-31,1.09
2015-12-31,0.86
2015-9-30,1.06
2015-6-30,0.78
2015-3-31,0.98
2014-12-31,0.91
2014-9-30,0.86
2014-6-30,0.79
2014-3-31,0.79
2013-12-31,0.57
2013-9-30,0.71
2013-6-30,0.93
2013-3-31,0.71
2012-12-31,0.5
2012-9-30,0.66
2012-6-30,0.74
2012-3-31,0.8
2011-12-31,2.24
2011-9-30,0.95
2011-6-30,0.88
2011-3-31,1.362
2010-12-31,0.582
2010-9-30,0.732
2010-6-30,0.822
2010-3-31,0.724
2009-12-31,0.608
2009-9-30,0.608
2009-6-30,0.666
2009-3-31,0.6
2008-12-31,0.104
2008-9-30,0.562
2008-6-30,0.734
2008-3-31,1.05
2007-12-31,0.75
2007-9-30,0.774
2007-6-30,0.714
2007-3-31,0.738
2006-12-31,0.584
2006-9-30,0.59
2006-6-30,0.624
2006-3-31,0.522
2005-12-31,0.436
2005-9-30,0.444
2005-6-30,0.472
2005-3-31,0.408
2004-12-31,0.328
2004-9-30,0.344
