Date,EPS 
2016-12-31,1.47
2016-9-30,1.9
2016-6-30,1.69
2016-3-31,1.84
2015-12-31,1.59
2015-9-30,1.98
2015-6-30,1.5
2015-3-31,2.0
2014-12-31,1.73
2014-9-30,1.86
2014-6-30,2.04
2014-3-31,1.96
2013-12-31,1.43
2013-9-30,1.84
2013-6-30,1.85
2013-3-31,1.77
2012-12-31,1.36
2012-9-30,2.01
2012-6-30,0.16
2012-3-31,2.72
2011-12-31,0.83
2011-9-30,1.77
2011-6-30,1.97
2011-3-31,2.21
2010-12-31,1.52
2010-9-30,1.76
2010-6-30,1.33
2010-3-31,1.4
2009-12-31,0.87
2009-9-30,0.87
2009-6-30,-0.66
2009-3-31,-0.44
2008-12-31,-3.91
2008-9-30,1.0
2008-6-30,1.21
2008-3-31,1.47
2007-12-31,0.62
2007-9-30,-0.21
2007-6-30,1.89
2007-3-31,1.62
2006-12-31,1.07
2006-9-30,1.89
2006-6-30,1.78
2006-3-31,2.86
2005-12-31,0.91
2005-9-30,1.81
2005-6-30,2.03
2005-3-31,1.99
2004-12-31,0.76
2004-9-30,1.97
