Date,EPS 
2016-12-31,-0.64
2016-9-30,-0.02
2016-6-30,-0.14
2016-3-31,-0.12
2015-12-31,-0.27
2015-9-30,-0.04
2015-6-30,-0.07
2015-3-31,0.1
2014-12-31,-0.53
2014-9-30,0.24
2014-6-30,0.28
2014-3-31,0.26
2013-12-31,0.18
2013-9-30,0.17
2013-6-30,0.21
2013-3-31,0.1
2012-12-31,0.09
2012-9-30,0.09
2012-6-30,0.085
2012-3-31,0.045
2011-12-31,0.06
2011-9-30,0.07
2011-6-30,0.13
2011-3-31,0.03
2010-12-31,0.115
2010-9-30,0.01
2010-6-30,0.0525
2010-3-31,0.0675
2009-12-31,0.0875
2009-9-30,0.0925
2009-6-30,0.06
2009-3-31,0.115
2008-12-31,0.105
2008-9-30,0.16
2008-6-30,0.1375
2008-3-31,0.115
2007-12-31,0.1075
2007-9-30,0.09
2007-6-30,0.105
2007-3-31,0.125
2006-12-31,0.0838
2006-9-30,0.48
2006-6-30,0.1175
2006-3-31,0.135
2005-12-31,0.1475
2005-9-30,0.085
2005-6-30,0.0887
2005-3-31,0.0525
2004-12-31,0.0813
2004-9-30,0.045
