Date,EPS 
2016-12-31,0.71
2016-9-30,0.42
2016-6-30,0.29
2016-3-31,0.4
2015-12-31,0.61
2015-9-30,0.35
2015-6-30,0.04
2015-3-31,0.32
2014-12-31,0.66
2014-9-30,0.43
2014-6-30,0.28
2014-3-31,0.68
2013-12-31,1.06
2013-9-30,0.77
2013-6-30,0.77
2013-3-31,0.84
2012-12-31,1.23
2012-9-30,0.77
2012-6-30,0.86
2012-3-31,0.77
2011-12-31,1.18
2011-9-30,0.73
2011-6-30,0.68
2011-3-31,0.62
2010-12-31,1.0
2010-9-30,0.63
2010-6-30,0.64
2010-3-31,0.5
2009-12-31,0.75
2009-9-30,0.44
2009-6-30,0.45
2009-3-31,0.36
2008-12-31,0.67
2008-9-30,0.44
2008-6-30,0.61
2008-3-31,0.46
2007-12-31,0.69
2007-9-30,0.41
2007-6-30,0.42
2007-3-31,0.4
2006-12-31,0.61
2006-9-30,0.34
2006-6-30,0.3
2006-3-31,0.28
2005-12-31,0.45
2005-9-30,0.24
2005-6-30,0.17
2005-3-31,0.21
2004-12-31,0.32
2004-9-30,0.16
