Date,EPS 
2016-12-31,1.1
2016-9-30,1.58
2016-6-30,1.63
2016-3-31,1.29
2015-12-31,1.02
2015-9-30,1.38
2015-6-30,1.33
2015-3-31,1.17
2014-12-31,1.24
2014-9-30,1.23
2014-6-30,1.15
2014-3-31,1.08
2013-12-31,0.96
2013-9-30,1.28
2013-6-30,1.2
2013-3-31,1.17
2012-12-31,0.94
2012-9-30,1.06
2012-6-30,1.14
2012-3-31,1.09
2011-12-31,0.86
2011-9-30,1.13
2011-6-30,1.01
2011-3-31,0.96
2010-12-31,0.96
2010-9-30,0.94
2010-6-30,0.89
2010-3-31,0.93
2009-12-31,0.76
2009-9-30,0.84
2009-6-30,0.91
2009-3-31,1.03
2008-12-31,0.95
2008-9-30,1.13
2008-6-30,1.07
2008-3-31,1.03
2007-12-31,0.93
2007-9-30,0.93
2007-6-30,0.86
2007-3-31,0.82
2006-12-31,0.84
2006-9-30,0.8
2006-6-30,0.7
2006-3-31,0.65
2005-12-31,0.59
2005-9-30,0.62
2005-6-30,0.56
2005-3-31,0.52
2004-12-31,0.5
2004-9-30,0.48
