Date,EPS 
2017-1-31,-0.07
2016-10-31,-0.05
2016-7-31,0.33
2016-4-30,0.06
2016-1-31,-0.04
2015-10-31,-0.04
2015-7-31,-0.0013
2015-4-30,0.01
2015-1-31,-0.1
2014-10-31,-0.06
2014-7-31,-0.1
2014-4-30,-0.16
2014-1-31,-0.2
2013-10-31,-0.21
2013-7-31,0.12
2013-4-30,-0.12
2013-1-31,-0.03
2012-10-31,-0.39
2012-7-31,-0.02
2012-4-30,-0.04
2012-1-31,-0.005
2011-10-31,-0.0075
2011-7-31,-0.0075
2011-4-30,0.0
2011-1-31,0.0175
2010-10-31,0.0375
2010-7-31,0.0275
2010-4-30,0.0325
2010-1-31,0.0375
2009-10-31,0.04
2009-7-31,0.0425
2009-4-30,0.0375
2009-1-31,0.0275
2008-10-31,0.02
2008-7-31,0.02
2008-4-30,0.02
2008-1-31,0.015
2007-10-31,0.0125
2007-7-31,0.0075
2007-4-30,0.0025
2007-1-31,0.0
2006-10-31,0.0
2006-7-31,0.0
2006-4-30,0.0
2006-1-31,0.0125
2005-10-31,0.0275
2005-7-31,0.01
2005-4-30,0.01
2005-1-31,0.01
2004-10-31,0.005
