Date,EPS 
2016-11-30,1.29
2016-8-31,1.26
2016-5-31,1.21
2016-2-29,1.05
2015-11-30,3.06
2015-8-31,0.88
2015-5-31,0.9
2015-2-28,0.8
2014-11-30,1.0
2014-8-31,0.93
2014-5-31,1.03
2014-2-28,0.69
2013-11-30,0.7
2013-8-31,0.63
2013-5-31,0.69
2013-2-28,0.6
2012-11-30,0.63
2012-8-31,0.6
2012-5-31,0.6
2012-2-29,0.58
2011-11-30,0.57
2011-8-31,0.52
2011-5-31,0.49
2011-2-28,0.41
2010-11-30,0.38
2010-8-31,0.4
2010-5-31,0.36
2010-2-28,0.32
2009-11-30,0.37
2009-8-31,0.35
2009-5-31,0.03
2009-2-28,0.47
2008-11-30,0.47
2008-8-31,0.51
2008-5-31,0.58
2008-2-29,0.53
2007-11-30,0.53
2007-8-31,0.51
2007-5-31,0.57
2007-2-28,0.48
2006-11-30,0.51
2006-8-31,0.53
2006-5-31,0.55
2006-2-28,0.45
2005-11-30,0.46
2005-8-31,0.46
2005-5-31,0.43
2005-2-28,0.41
2004-11-30,0.43
2004-8-31,0.42
