Date,EPS 
2016-12-31,0.68
2016-9-30,0.73
2016-6-30,0.41
2016-3-31,0.72
2015-12-31,0.69
2015-9-30,0.65
2015-6-30,0.68
2015-3-31,0.62
2014-12-31,0.59
2014-9-30,0.58
2014-6-30,0.61
2014-3-31,0.57
2013-12-31,0.53
2013-9-30,0.53
2013-6-30,0.49
2013-3-31,0.47
2012-12-31,0.46
2012-9-30,0.455
2012-6-30,0.41
2012-3-31,0.395
2011-12-31,0.39
2011-9-30,0.365
2011-6-30,0.335
2011-3-31,0.335
2010-12-31,0.33
2010-9-30,0.33
2010-6-30,0.28
2010-3-31,0.245
2009-12-31,0.24
2009-9-30,0.225
2009-6-30,0.235
2009-3-31,0.19
2008-12-31,0.19
2008-9-30,0.19
2008-6-30,0.175
2008-3-31,0.17
2007-12-31,0.16
2007-9-30,0.16
2007-6-30,0.135
2007-3-31,0.125
2006-12-31,0.1175
2006-9-30,0.1
2006-6-30,0.0925
2006-3-31,0.08
2005-12-31,0.0975
2005-9-30,0.07
2005-6-30,0.0625
2005-3-31,0.055
2004-12-31,0.0525
2004-9-30,0.045
