Date,EPS 
2016-12-31,1.58
2016-9-30,1.43
2016-6-30,0.86
2016-3-31,1.04
2015-12-31,1.34
2015-9-30,1.11
2015-6-30,1.12
2015-3-31,1.07
2014-12-31,1.14
2014-9-30,0.81
2014-6-30,1.06
2014-3-31,0.95
2013-12-31,1.04
2013-9-30,1.02
2013-6-30,0.91
2013-3-31,0.77
2012-12-31,0.89
2012-9-30,0.79
2012-6-30,0.75
2012-3-31,0.59
2011-12-31,0.8
2011-9-30,0.65
2011-6-30,0.6
2011-3-31,0.52
2010-12-31,0.75
2010-9-30,0.59
2010-6-30,0.6
2010-3-31,0.55
2009-12-31,0.74
2009-9-30,0.71
2009-6-30,0.6
2009-3-31,0.5
2008-12-31,0.64
2008-9-30,0.5
2008-6-30,0.53
2008-3-31,0.51
2007-12-31,0.56
2007-9-30,0.45
2007-6-30,0.47
2007-3-31,0.43
2006-12-31,0.49
2006-9-30,0.33
2006-6-30,0.4
2006-3-31,0.39
2005-12-31,0.48
2005-9-30,0.3
2005-6-30,0.33
2005-3-31,0.345
2004-12-31,0.3
2004-9-30,0.22
