Date,EPS 
2016-12-31,-0.67
2016-9-30,-0.38
2016-6-30,-2.04
2016-3-31,-7.95
2015-12-31,-0.02
2015-9-30,1.49
2015-6-30,-1.02
2015-3-31,0.06
2014-12-31,1.15
2014-9-30,2.69
2014-6-30,0.11
2014-3-31,0.87
2013-12-31,1.0
2013-9-30,0.29
2013-6-30,0.81
2013-3-31,0.29
2012-12-31,0.72
2012-9-30,0.06
2012-6-30,3.07
2012-3-31,0.3
2011-12-31,-0.81
2011-9-30,3.44
2011-6-30,2.24
2011-3-31,0.42
2010-12-31,-0.14
2010-9-30,0.22
2010-6-30,1.35
2010-3-31,0.75
2009-12-31,0.19
2009-9-30,0.23
2009-6-30,-0.39
2009-3-31,-0.16
2008-12-31,1.56
2008-9-30,1.72
2008-6-30,-0.19
2008-3-31,0.29
2007-12-31,0.09
2007-9-30,0.11
2007-6-30,0.1
2007-3-31,0.08
2006-12-31,0.55
2006-9-30,-0.07
2006-6-30,-0.07
2006-3-31,-0.053
2005-12-31,-0.17
2005-9-30,-0.18
2005-6-30,-0.18
2005-3-31,-0.18
