Date,EPS 
2016-12-31,0.72
2016-9-30,1.1
2016-6-30,0.73
2016-3-31,0.876
2015-12-31,0.6
2015-9-30,1.0
2015-6-30,0.7
2015-3-31,0.9086
2014-12-31,0.41
2014-9-30,0.9
2014-6-30,0.27
2014-3-31,0.6502
2013-12-31,0.74
2013-9-30,0.98
2013-6-30,0.35
2013-3-31,0.86
2012-12-31,-1.15
2012-9-30,0.36
2012-6-30,0.45
2012-3-31,0.86
2011-12-31,0.35
2011-9-30,0.69
2011-6-30,0.58
2011-3-31,0.82
2010-12-31,0.53
2010-9-30,0.98
2010-6-30,2.98
2010-3-31,0.29
2009-12-31,-0.02
2009-9-30,1.0
2009-6-30,0.76
2009-3-31,0.4234
2008-12-31,0.59
2008-9-30,0.87
2008-6-30,0.51
2008-3-31,1.18
2007-12-31,0.59
2007-9-30,3.62
2007-6-30,-0.76
2007-3-31,0.65
2006-12-31,0.045
2006-9-30,0.925
2006-6-30,0.23
2006-3-31,0.765
2005-12-31,0.37
2005-9-30,0.02
2005-6-30,0.485
2005-3-31,0.625
2004-12-31,0.33
2004-9-30,0.51
