Date,EPS 
2016-12-31,0.87
2016-9-30,1.69
2016-6-30,2.03
2016-3-31,1.21
2015-12-31,1.26
2015-9-30,1.65
2015-6-30,1.83
2015-3-31,0.9
2014-12-31,-0.84
2014-9-30,0.42
2014-6-30,0.94
2014-3-31,0.25
2013-12-31,9.89
2013-9-30,1.59
2013-6-30,0.8
2013-3-31,0.01
2012-12-31,0.01
2012-9-30,1.23
2012-6-30,-0.2
2012-3-31,0.15
2011-12-31,0.5
2011-9-30,0.65
2011-6-30,0.23
2011-3-31,-0.38
2010-12-31,0.02
2010-9-30,0.43
2010-6-30,0.55
2010-3-31,-0.31
2009-12-31,-0.03
2009-9-30,-0.19
2009-6-30,-0.31
2009-3-31,-0.96
2008-12-31,-0.17
2008-9-30,-0.13
2008-6-30,-2.64
2008-3-31,-16.15
2007-12-31,-0.49
2007-9-30,0.56
2007-6-30,5.61
2007-3-31,-0.66
2006-12-31,-10.05
2006-9-30,0.22
2006-6-30,-11.18
2006-3-31,-10.68
2005-12-31,-6.68
2005-9-30,-6.73
2005-6-30,-2.64
2005-3-31,-7.64
2004-12-31,-17.01
2004-9-30,-5.16
