Date,EPS 
2016-12-31,0.3
2016-9-30,0.0
2016-6-30,1.16
2016-3-31,1.39
2015-12-31,-0.27
2015-9-30,0.26
2015-6-30,1.03
2015-3-31,1.13
2014-12-31,0.75
2014-9-30,0.47
2014-6-30,1.15
2014-3-31,1.54
2013-12-31,0.19
2013-9-30,0.3
2013-6-30,1.11
2013-3-31,3.58
2012-12-31,0.09
2012-9-30,0.0
2012-6-30,1.23
2012-3-31,1.58
2011-12-31,0.49
2011-9-30,0.48
2011-6-30,1.29
2011-3-31,1.52
2010-12-31,0.39
2010-9-30,0.4
2010-6-30,1.26
2010-3-31,1.24
2009-12-31,0.48
2009-9-30,0.45
2009-6-30,0.46
2009-3-31,0.54
2008-12-31,-0.7
2008-9-30,0.4
2008-6-30,1.18
2008-3-31,1.31
2007-12-31,0.61
2007-9-30,0.56
2007-6-30,1.04
2007-3-31,1.01
2006-12-31,0.94
2006-9-30,0.52
2006-6-30,1.04
2006-3-31,0.88
2005-12-31,0.18
2005-9-30,-0.09
2005-6-30,1.01
2005-3-31,0.96
2004-12-31,0.28
2004-9-30,0.33
