Date,EPS 
2016-12-31,1.4
2016-9-30,1.56
2016-6-30,1.47
2016-3-31,1.35
2015-12-31,1.15
2015-9-30,1.38
2015-6-30,1.33
2015-3-31,1.28
2014-12-31,0.88
2014-9-30,1.37
2014-6-30,1.35
2014-3-31,1.31
2013-12-31,1.24
2013-9-30,1.2
2013-6-30,1.2
2013-3-31,1.33
2012-11-30,1.07
2012-8-31,1.21
2012-5-31,1.0
2012-2-29,1.18
2011-11-30,0.95
2011-8-31,1.18
2011-5-31,1.09
2011-2-28,0.84
2010-11-30,0.64
2010-8-31,0.47
2010-5-31,0.33
2010-2-28,-0.22
2009-11-30,0.6
2009-8-31,1.07
2009-5-31,0.43
2009-2-28,0.25
2008-11-30,0.89
2008-8-31,0.37
2008-5-31,0.48
2008-2-29,0.17
2007-11-30,-0.12
2007-8-31,0.42
2007-5-31,0.44
2007-2-28,0.49
2006-11-30,0.02
2006-8-31,0.51
2006-5-31,0.72
