Date,EPS 
2016-12-31,0.55
2016-9-30,0.75
2016-6-30,0.66
2016-3-31,0.52
2015-12-31,0.42
2015-9-30,0.64
2015-6-30,0.6
2015-3-31,0.4
2014-12-31,0.39
2014-9-30,0.45
2014-6-30,0.32
2014-3-31,0.38
2013-12-31,0.36
2013-9-30,0.4
2013-6-30,0.42
2013-3-31,0.32
2012-12-31,0.2
2012-9-30,0.3
2012-6-30,2.22
2012-3-31,0.13
2011-12-31,0.09
2011-9-30,0.12
2011-6-30,0.09
2011-3-31,0.09
2010-12-31,-0.06
2010-9-30,-0.03
2010-6-30,0.16
2010-3-31,0.04
2009-12-31,0.56
2009-9-30,-0.74
2009-6-30,-0.45
2009-3-31,-0.34
2008-12-31,-0.2
2008-9-30,-2.53
2008-6-30,-1.26
2008-3-31,-4.14
2007-12-31,-0.41
2007-9-30,-0.16
2007-6-30,-2.62
2007-3-31,0.16
2006-12-31,0.35
2006-9-30,0.88
2006-6-30,0.93
2006-3-31,1.11
2005-12-31,0.98
2005-9-30,1.77
2005-6-30,1.17
2005-3-31,0.92
2004-12-31,0.76
2004-9-30,1.11
