Date,EPS 
2016-12-31,2.12
2016-9-30,-0.8
2016-6-30,0.51
2016-3-31,0.82
2015-12-31,2.11
2015-9-30,1.62
2015-6-30,-0.22
2015-3-31,1.13
2014-12-31,2.52
2014-9-30,1.85
2014-6-30,1.35
2014-3-31,2.26
2013-12-31,1.95
2013-9-30,1.87
2013-6-30,1.44
2013-3-31,1.29
2012-12-31,2.17
2012-9-30,1.76
2012-6-30,1.2
2012-3-31,1.32
2011-12-31,1.92
2011-9-30,1.19
2011-6-30,1.18
2011-3-31,1.0
2010-12-31,1.84
2010-9-30,1.12
2010-6-30,1.1
2010-3-31,0.92
2009-12-31,1.6
2009-9-30,1.02
2009-6-30,1.43
2009-3-31,1.93
2008-12-31,1.83
2008-9-30,1.18
2008-6-30,1.51
2008-3-31,1.06
2007-12-31,1.72
2007-9-30,0.94
2007-6-30,1.46
2007-3-31,0.87
2006-12-31,1.43
2006-9-30,0.72
2006-6-30,0.79
2006-3-31,0.75
2005-12-31,1.32
2005-9-30,0.46
2005-6-30,0.67
2005-3-31,0.73
2004-12-31,1.04
2004-9-30,0.65
