Date,EPS 
2016-12-31,0.73
2016-9-30,1.88
2016-6-30,0.84
2016-3-31,1.37
2015-12-31,0.44
2015-9-30,1.47
2015-6-30,0.61
2015-3-31,1.53
2014-12-31,1.68
2014-9-30,0.88
2014-6-30,0.7
2014-3-31,1.84
2013-12-31,0.69
2013-9-30,1.13
2013-6-30,0.6
2013-3-31,1.34
2012-12-31,0.47
2012-9-30,1.31
2012-6-30,0.86
2012-3-31,0.91
2011-12-31,0.88
2011-9-30,1.07
2011-6-30,1.19
2011-3-31,1.04
2010-12-31,0.9
2010-9-30,0.96
2010-6-30,0.51
2010-3-31,1.38
2009-12-31,0.73
2009-9-30,0.92
2009-6-30,0.51
2009-3-31,1.09
2008-12-31,0.79
2008-9-30,1.08
2008-6-30,0.17
2008-3-31,1.3
2007-12-31,1.55
2007-9-30,1.19
2007-6-30,2.2
2007-3-31,0.76
2006-12-31,0.79
2006-9-30,1.06
2006-6-30,-0.19
2006-3-31,0.76
2005-12-31,2.16
2005-9-30,0.02
2005-6-30,0.17
2005-3-31,0.7
2004-12-31,0.6413
2004-9-30,0.54
