Date,EPS 
2016-12-31,0.81
2016-9-30,2.76
2016-6-30,0.26
2016-3-31,0.47
2015-12-31,-0.03
2015-9-30,1.0
2015-6-30,0.78
2015-3-31,-0.52
2014-12-31,0.95
2014-9-30,0.85
2014-6-30,0.68
2014-3-31,0.85
2013-12-31,0.99
2013-9-30,0.64
2013-6-30,1.18
2013-3-31,0.14
2012-12-31,0.76
2012-9-30,0.75
2012-6-30,0.495
2012-3-31,0.73
2011-12-31,0.78
2011-9-30,0.71
2011-6-30,0.515
2011-3-31,0.48
2010-12-31,0.36
2010-9-30,0.575
2010-6-30,0.52
2010-3-31,0.52
2009-12-31,0.53
2009-9-30,0.53
2009-6-30,0.51
2009-3-31,0.46
2008-12-31,0.47
2008-9-30,0.445
2008-6-30,0.45
2008-3-31,0.4
2007-12-31,0.395
2007-9-30,0.44
2007-6-30,0.585
2007-3-31,0.36
2006-12-31,0.35
2006-9-30,0.45
2006-6-30,0.3
2006-3-31,0.275
2005-12-31,0.31
2005-9-30,0.265
2005-6-30,0.255
2005-3-31,0.275
2004-12-31,0.275
2004-9-30,0.295
