Date,EPS 
2016-12-31,5.2
2016-9-30,0.36
2016-6-30,0.38
2016-3-31,0.41
2015-12-31,0.4
2015-9-30,0.45
2015-6-30,0.07
2015-3-31,0.51
2014-12-31,0.82
2014-9-30,0.54
2014-6-30,0.53
2014-3-31,-1.82
2013-12-31,0.65
2013-9-30,0.53
2013-6-30,0.49
2013-3-31,0.51
2012-12-31,0.57
2012-9-30,0.45
2012-6-30,0.53
2012-3-31,0.44
2011-12-31,1.51
2011-9-30,0.37
2011-6-30,0.22
2011-3-31,0.36
2010-12-31,0.42
2010-9-30,0.33
2010-6-30,0.31
2010-3-31,0.3
2009-12-31,1.03
2009-9-30,0.27
2009-6-30,0.25
2009-3-31,0.28
2008-12-31,0.29
2008-9-30,0.38
2008-6-30,0.35
2008-3-31,0.34
2007-12-31,0.38
2007-9-30,-0.69
2007-6-30,0.27
2007-3-31,0.27
2006-12-31,0.25
2006-9-30,0.2
2006-6-30,0.17
2006-3-31,0.17
2005-12-31,0.2
2005-9-30,0.18
2005-6-30,0.21
2005-3-31,0.19
2004-12-31,0.15
2004-9-30,0.13
