Date,EPS 
2016-12-31,0.66
2016-9-30,1.62
2016-6-30,0.77
2016-3-31,1.05
2015-12-31,0.59
2015-9-30,1.45
2015-6-30,0.74
2015-3-31,1.26
2014-12-31,0.27
2014-9-30,1.48
2014-6-30,0.72
2014-3-31,1.23
2013-12-31,0.79
2013-9-30,1.58
2013-6-30,0.59
2013-3-31,0.65
2012-12-31,0.7
2012-9-30,1.49
2012-6-30,0.73
2012-3-31,0.94
2011-12-31,0.65
2011-9-30,1.3
2011-6-30,0.56
2011-3-31,1.06
2010-12-31,0.79
2010-9-30,1.23
2010-6-30,0.64
2010-3-31,0.8
2009-12-31,0.72
2009-9-30,1.22
2009-6-30,0.55
2009-3-31,0.66
2008-12-31,0.58
2008-9-30,0.66
2008-6-30,2.02
2008-3-31,1.11
2007-12-31,0.75
2007-9-30,1.15
2007-6-30,0.58
2007-3-31,0.99
2006-12-31,0.79
2006-9-30,0.92
2006-6-30,0.5
2006-3-31,0.74
2005-12-31,0.56
2005-9-30,1.16
2005-6-30,0.47
2005-3-31,0.75
2004-12-31,0.19
2004-9-30,1.01
