Date,EPS 
2016-12-31,1.15
2016-9-30,0.79
2016-6-30,0.25
2016-3-31,0.71
2015-12-31,1.19
2015-9-30,0.82
2015-6-30,0.4
2015-3-31,0.71
2014-12-31,1.13
2014-9-30,0.59
2014-6-30,0.66
2014-3-31,0.54
2013-12-31,1.09
2013-9-30,0.76
2013-6-30,0.23
2013-3-31,0.45
2012-12-31,1.13
2012-9-30,0.76
2012-6-30,0.13
2012-3-31,0.33
2011-12-31,1.0
2011-9-30,0.7
2011-6-30,0.1
2011-3-31,0.31
2010-12-31,0.86
2010-9-30,0.475
2010-6-30,0.055
2010-3-31,0.14
2009-12-31,0.64
2009-9-30,0.355
2009-6-30,-0.045
2009-3-31,0.07
2008-12-31,0.4
2008-9-30,0.13
2008-6-30,0.3
2008-3-31,0.23
2007-12-31,0.57
2007-9-30,0.1
2007-6-30,0.225
2007-3-31,0.225
2006-12-31,0.495
2006-9-30,0.135
2006-6-30,0.105
2006-3-31,0.14
2005-12-31,0.19
2005-9-30,0.13
2005-6-30,0.15
2005-3-31,0.23
2004-12-31,0.3
2004-9-30,0.205
