Date,EPS 
2016-12-31,0.79
2016-9-30,1.56
2016-6-30,1.71
2016-3-31,1.69
2015-12-31,0.83
2015-9-30,1.71
2015-6-30,1.98
2015-3-31,1.14
2014-12-31,0.12
2014-9-30,1.39
2014-6-30,1.93
2014-3-31,1.52
2013-12-31,2.21
2013-9-30,1.97
2013-6-30,1.69
2013-3-31,1.57
2012-12-31,-0.44
2012-9-30,0.99
2012-6-30,1.27
2012-3-31,1.12
2011-12-31,0.12
2011-9-30,1.22
2011-6-30,1.51
2011-3-31,1.66
2010-12-31,0.03
2010-9-30,1.16
2010-6-30,1.01
2010-3-31,0.685
2009-12-31,-0.22
2009-9-30,0.69
2009-6-30,0.445
2009-3-31,0.015
2008-12-31,0.01
2008-9-30,0.665
2008-6-30,0.74
2008-3-31,0.84
2007-12-31,0.6
2007-9-30,0.12
2007-6-30,0.61
2007-3-31,0.455
2006-12-31,0.56
2006-9-30,0.575
2006-6-30,0.685
2006-3-31,0.635
2005-12-31,0.4
2005-9-30,0.75
2005-6-30,1.255
2005-3-31,1.0
2004-12-31,0.345
2004-9-30,0.245
