Date,EPS 
2016-12-31,0.48
2016-9-30,0.68
2016-6-30,0.74
2016-3-31,0.57
2015-12-31,0.53
2015-9-30,0.98
2015-6-30,0.84
2015-3-31,1.42
2014-12-31,0.75
2014-9-30,0.58
2014-6-30,1.03
2014-3-31,0.77
2013-12-31,0.65
2013-9-30,1.1
2013-6-30,0.27
2013-3-31,0.77
2012-12-31,0.62
2012-9-30,0.39
2012-6-30,1.04
2012-3-31,0.74
2011-12-31,0.5
2011-9-30,1.01
2011-6-30,0.9
2011-3-31,0.73
2010-12-31,0.63
2010-9-30,0.98
2010-6-30,0.77
2010-3-31,0.53
2009-12-31,0.56
2009-9-30,0.67
2009-6-30,0.51
2009-3-31,0.49
2008-12-31,0.6
2008-9-30,0.88
2008-6-30,0.78
2008-3-31,0.69
2007-12-31,0.71
2007-9-30,0.78
2007-6-30,0.72
2007-3-31,0.61
2006-12-31,0.55
2006-9-30,0.65
2006-6-30,0.59
2006-3-31,0.52
2005-12-31,0.48
2005-9-30,0.505
2005-6-30,0.43
2005-3-31,0.415
2004-12-31,0.35
2004-9-30,0.42
