Date,EPS 
2016-12-31,-14.99
2016-9-30,-0.98
2016-6-30,1.54
2016-3-31,-0.6
2015-12-31,-0.27
2015-9-30,-5.02
2015-6-30,-1.35
2015-3-31,-0.43
2014-12-31,-0.32
2014-9-30,-1.59
2014-6-30,0.13
2014-3-31,-3.41
2013-12-31,-6.85
2013-9-30,0.33
2013-6-30,0.3
2013-3-31,0.14
2012-12-31,-6.19
2012-9-30,0.45
2012-6-30,0.08
2012-3-31,-0.75
2011-12-31,0.31
2011-9-30,0.34
2011-6-30,0.44
2011-3-31,0.46
2010-12-31,0.78
2010-9-30,0.46
2010-6-30,0.44
2010-3-31,0.51
2009-12-31,1.26
2009-9-30,0.42
2009-6-30,0.26
2009-3-31,0.33
2008-12-31,0.61
2008-9-30,0.55
2008-6-30,0.46
2008-3-31,0.44
2007-12-31,0.38
2007-9-30,0.44
2007-6-30,0.45
2007-3-31,0.43
2006-12-31,0.11
2006-9-30,0.33
2006-6-30,0.43
2006-3-31,0.15
2005-12-31,0.55
2005-9-30,0.5
2005-6-30,0.37
2005-3-31,0.1
2004-12-31,0.22
2004-9-30,0.31
