Date,EPS 
2016-12-31,0.87
2016-9-30,0.72
2016-6-30,0.64
2016-3-31,-0.46
2015-12-31,0.13
2015-9-30,0.71
2015-6-30,1.03
2015-3-31,1.34
2014-12-31,-6.82
2014-9-30,0.79
2014-6-30,0.22
2014-3-31,0.81
2013-12-31,0.9
2013-9-30,0.83
2013-6-30,-0.52
2013-3-31,0.65
2012-12-31,0.9
2012-9-30,0.54
2012-6-30,0.73
2012-3-31,0.71
2011-12-31,0.37
2011-9-30,0.2
2011-6-30,0.64
2011-3-31,0.53
2010-12-31,0.29
2010-9-30,0.24
2010-6-30,-0.05
2010-3-31,0.35
2009-12-31,0.43
2009-9-30,0.47
2009-6-30,0.44
2009-3-31,0.4
2008-12-31,2.52
2008-9-30,0.15
2008-6-30,0.02
2008-3-31,0.1
2007-12-31,-0.19
2007-9-30,0.12
2007-6-30,0.04
2007-3-31,-0.15
2006-12-31,0.33
2006-9-30,-0.18
2006-6-30,-0.19
2006-3-31,-0.18
2005-12-31,-1.35
2005-9-30,-0.03
2005-6-30,-0.14
2005-3-31,-0.26
2004-12-31,-1.22
2004-9-30,-0.36
