Date,EPS 
2016-12-31,-1.13
2016-9-30,-0.05
2016-6-30,-1.55
2016-3-31,0.04
2015-12-31,-0.88
2015-9-30,0.27
2015-6-30,0.04
2015-3-31,1.14
2014-12-31,-0.1
2014-9-30,0.65
2014-6-30,0.73
2014-3-31,1.26
2013-12-31,0.75
2013-9-30,0.58
2013-6-30,0.57
2013-3-31,0.66
2012-12-31,0.32
2012-9-30,0.21
2012-6-30,0.21
2012-3-31,0.48
2011-12-31,0.6
2011-9-30,1.19
2011-6-30,0.58
2011-3-31,0.82
2010-12-31,0.5
2010-9-30,0.24
2010-6-30,0.2
2010-3-31,0.65
2009-12-31,0.42
2009-9-30,0.02
2009-6-30,0.2
2009-3-31,0.55
2008-12-31,0.25
2008-9-30,0.73
2008-6-30,0.44
2008-3-31,0.57
2007-12-31,0.5
2007-9-30,0.27
2007-6-30,0.87
2007-3-31,0.46
2006-12-31,0.59
2006-9-30,0.26
2006-6-30,0.36
2006-3-31,0.59
2005-12-31,0.59
2005-9-30,0.38
2005-6-30,0.52
2005-3-31,0.61
2004-12-31,0.35
2004-9-30,0.28
