Date,EPS 
2016-12-31,0.72
2016-9-30,0.83
2016-6-30,0.64
2016-3-31,0.77
2015-12-31,0.57
2015-9-30,0.74
2015-6-30,0.65
2015-3-31,0.8
2014-12-31,0.69
2014-9-30,0.74
2014-6-30,0.4
2014-3-31,0.74
2013-12-31,0.56
2013-9-30,0.66
2013-6-30,0.54
2013-3-31,0.72
2012-12-31,0.57
2012-9-30,0.66
2012-6-30,0.15
2012-3-31,0.56
2011-12-31,0.63
2011-9-30,0.51
2011-6-30,0.44
2011-3-31,0.64
2010-12-31,0.73
2010-9-30,0.57
2010-6-30,0.41
2010-3-31,0.49
2009-12-31,0.48
2009-9-30,0.37
2009-6-30,0.47
2009-3-31,0.6
2008-12-31,0.46
2008-9-30,0.47
2008-6-30,0.37
2008-3-31,0.38
2007-12-31,0.47
2007-9-30,0.32
2007-6-30,0.31
2007-3-31,0.49
2006-12-31,2.25
2006-9-30,0.72
2006-6-30,0.14
2006-3-31,-0.07
2005-12-31,-0.08
2005-9-30,-0.7271
2005-6-30,-0.2139
2005-3-31,-0.91
2004-12-31,0.26
2004-9-30,-0.06
