Date,EPS 
2016-12-31,0.73
2016-9-30,0.65
2016-6-30,0.58
2016-3-31,0.66
2015-12-31,0.64
2015-9-30,0.54
2015-6-30,0.51
2015-3-31,0.56
2014-12-31,0.495
2014-9-30,0.435
2014-6-30,2.545
2014-3-31,0.28
2013-12-31,0.34
2013-9-30,0.34
2013-6-30,0.405
2013-3-31,0.62
2012-12-31,0.375
2012-9-30,0.29
2012-6-30,0.285
2012-3-31,0.275
2011-12-31,0.265
2011-9-30,0.215
2011-6-30,0.24
2011-3-31,0.265
2010-12-31,0.27
2010-9-30,0.2
2010-6-30,0.24
2010-3-31,0.2
2009-12-31,0.2
2009-9-30,0.315
2009-6-30,0.205
2009-3-31,0.2575
2008-12-31,0.1625
2008-9-30,0.14
2008-6-30,0.1675
2008-3-31,0.0775
2007-12-31,0.07
2007-9-30,0.12
2007-6-30,0.1425
2007-3-31,0.135
2006-12-31,0.085
2006-9-30,0.1125
2006-6-30,0.145
2006-3-31,0.1825
2005-12-31,0.155
2005-9-30,-0.0175
2005-6-30,0.055
2005-3-31,0.125
2004-12-31,0.11
2004-9-30,0.05
