Date,EPS 
2016-12-31,0.61
2016-9-30,0.59
2016-6-30,0.63
2016-3-31,0.53
2015-12-31,0.61
2015-9-30,0.62
2015-6-30,0.61
2015-3-31,0.55
2014-12-31,0.51
2014-9-30,0.53
2014-6-30,0.46
2014-3-31,0.42
2013-12-31,0.4
2013-9-30,0.45
2013-6-30,0.45
2013-3-31,0.39
2012-12-31,0.4
2012-9-30,0.42
2012-6-30,0.39
2012-3-31,0.36
2011-12-31,0.43
2011-9-30,0.5
2011-6-30,0.44
2011-3-31,0.42
2010-12-31,0.45
2010-9-30,0.44
2010-6-30,0.42
2010-3-31,0.28
2009-12-31,0.32
2009-9-30,0.27
2009-6-30,0.25
2009-3-31,0.27
2008-12-31,0.35
2008-9-30,0.39
2008-6-30,0.32
2008-3-31,0.3
2007-12-31,0.31
2007-9-30,0.34
2007-6-30,0.3
2007-3-31,0.27
2006-12-31,0.28
2006-9-30,0.29
2006-6-30,0.25
2006-3-31,0.24
2005-12-31,0.33
2005-9-30,0.22
2005-6-30,0.17
2005-3-31,0.14
2004-12-31,0.075
2004-9-30,0.195
