Date,EPS 
2016-12-31,0.51
2016-9-30,1.81
2016-6-30,0.21
2016-3-31,-0.81
2015-12-31,-0.16
2015-9-30,2.12
2015-6-30,3.38
2015-3-31,0.34
2014-12-31,0.51
2014-9-30,1.94
2014-6-30,0.67
2014-3-31,-0.11
2013-12-31,0.69
2013-9-30,1.22
2013-6-30,0.51
2013-3-31,-0.77
2012-12-31,0.04
2012-9-30,1.21
2012-6-30,0.76
2012-3-31,-0.02
2011-12-31,0.52
2011-9-30,1.5
2011-6-30,1.01
2011-3-31,0.37
2010-12-31,0.51
2010-9-30,1.24
2010-6-30,0.8
2010-3-31,0.4
2009-12-31,0.7
2009-9-30,0.8
2009-6-30,0.28
2009-3-31,0.28
2008-12-31,-19.3
2008-9-30,0.66
2008-6-30,0.66
2008-3-31,0.34
2007-12-31,0.44
2007-9-30,0.64
2007-6-30,0.6
2007-3-31,0.22
2006-12-31,0.4
2006-9-30,0.34
2006-6-30,0.54
2006-3-31,0.12
2005-12-31,0.12
2005-9-30,0.46
2005-6-30,0.44
2005-3-31,0.28
2004-12-31,0.2591
2004-9-30,0.34
