Date,EPS 
2016-12-31,0.66
2016-9-30,0.93
2016-6-30,0.66
2016-3-31,0.66
2015-12-31,0.05
2015-9-30,0.58
2015-6-30,0.47
2015-3-31,0.46
2014-12-31,0.38
2014-9-30,0.47
2014-6-30,0.36
2014-3-31,0.32
2013-12-31,0.68
2013-9-30,0.26
2013-6-30,0.31
2013-3-31,0.28
2012-12-31,0.34
2012-9-30,0.37
2012-6-30,0.22
2012-3-31,0.21
2011-12-31,0.17
2011-9-30,0.16
2011-6-30,0.12
2011-3-31,0.09
2010-12-31,0.1
2010-9-30,0.09
2010-6-30,0.07
2010-3-31,0.04
2009-12-31,0.07
2009-9-30,0.07
2009-6-30,-0.09
2009-3-31,0.32
2008-12-31,0.18
2008-9-30,0.13
2008-6-30,0.09
2008-3-31,0.09
2007-12-31,0.14
2007-9-30,0.15
2007-6-30,0.13
2007-3-31,0.1
2006-12-31,0.11
2006-9-30,0.08
2006-6-30,0.06
2006-3-31,0.01
2005-12-31,0.0
2005-9-30,-0.08
2005-6-30,-0.04
2005-3-31,-0.02
2004-12-31,0.91
2004-9-30,-0.53
