Date,EPS 
2016-12-31,0.62
2016-9-30,0.56
2016-6-30,0.37
2016-3-31,0.17
2015-12-31,0.34
2015-9-30,0.62
2015-6-30,0.84
2015-3-31,0.39
2014-12-31,0.68
2014-9-30,0.52
2014-6-30,0.62
2014-3-31,0.53
2013-12-31,0.25
2013-9-30,0.59
2013-6-30,0.36
2013-3-31,0.49
2012-12-31,0.46
2012-9-30,0.29
2012-6-30,0.5
2012-3-31,0.29
2011-12-31,0.39
2011-9-30,0.44
2011-6-30,0.4
2011-3-31,0.3
2010-12-31,0.35
2010-9-30,0.33
2010-6-30,0.23
2010-3-31,0.25
2009-12-31,-0.39
2009-9-30,0.35
2009-6-30,0.31
2009-3-31,0.17
2008-12-31,0.15
2008-9-30,0.23
2008-6-30,0.37
2008-3-31,0.36
2007-12-31,0.56
2007-9-30,1.25
2007-6-30,0.75
2007-3-31,0.3
2006-12-31,0.39
2006-9-30,0.41
2006-6-30,0.34
2006-3-31,0.23
2005-12-31,0.35
2005-9-30,0.45
2005-6-30,0.38
2005-3-31,0.35
2004-12-31,0.4
2004-9-30,0.43
