Date,EPS 
2017-1-31,1.42
2016-10-31,1.17
2016-7-31,0.94
2016-4-30,1.39
2016-1-31,1.13
2015-10-31,0.57
2015-7-31,0.84
2015-4-30,1.29
2015-1-31,1.01
2014-10-31,0.82
2014-7-31,0.63
2014-4-30,1.1
2014-1-31,0.81
2013-10-31,0.7
2013-7-31,0.44
2013-4-30,0.9
2013-1-31,0.68
2012-10-31,0.69
2012-7-31,0.39
2012-4-30,0.83
2012-1-31,0.53
2011-10-31,0.43
2011-7-31,0.24
2011-4-30,0.6
2011-1-31,0.36
2010-10-31,0.33
2010-7-31,0.04
2010-4-30,0.34
2010-1-31,0.14
2009-10-31,-0.04
2009-7-31,0.0
2009-4-30,0.2
2009-1-31,-0.81
2008-10-31,0.16
2008-7-31,0.11
2008-4-30,0.02
2008-1-31,0.51
2007-10-31,-0.22
2007-7-31,-0.12
2007-4-30,0.11
2007-1-31,0.72
2006-10-31,0.42
2006-7-31,0.09
2006-4-30,0.38
2006-1-31,0.61
2005-10-31,0.42
2005-7-31,0.28
2005-4-30,0.37
2005-1-31,0.57
2004-10-31,0.47
